atlas	1024	256	64	64	65.92	129.92
g	71040	2	2	44	52	1.92	-7.296	43.712	48.969
g	71041	63	2	52	52	1.92	-7.296	43.712	55.094
g	71042	124	2	48	47	2.816	-3.456	43.52	52.688
g	71043	185	2	48	51	2.816	-7.296	43.52	52.688
g	71044	246	2	49	44	0.64	0.384	43.712	53.125
g	71045	307	2	57	44	0.64	0.384	43.712	58.438
g	71046	368	2	41	51	2.112	-6.592	43.712	44.156
g	71047	429	2	46	51	0.64	-6.592	43.712	48
g	71048	490	2	29	50	3.2	-5.568	43.52	34.938
g	71049	551	2	38	50	3.2	-5.568	43.52	42.438
g	71050	612	2	52	41	0.64	3.776	44.032	53.25
g	71051	673	2	52	54	0.64	3.776	56.896	53.25
g	71052	734	2	49	44	0.64	0.384	43.712	51.25
g	71053	795	2	57	44	0.64	0.384	43.712	58.438
g	71054	856	2	44	49	1.92	-4.928	43.712	47.281
g	71055	917	2	49	48	1.28	-3.008	44.16	51.469
g	71056	2	60	46	48	1.28	-3.008	44.16	47.625
g	71057	63	60	50	51	0.64	-6.912	43.712	53.063
g	71058	124	60	42	47	1.28	-2.944	43.712	44.031
g	71059	185	60	39	51	1.28	-6.848	43.712	40.719
g	71060	246	60	47	51	1.92	-6.848	43.712	50.438
g	71061	307	60	42	47	1.28	-2.944	43.712	44.031
g	71062	368	60	41	51	1.28	-6.464	43.712	43.656
g	71063	429	60	46	51	1.28	-6.464	43.712	48.625
g	71064	490	60	42	42	3.2	2.048	43.712	46.406
g	71065	551	60	36	44	3.2	0.064	43.712	41.531
g	71066	612	60	35	50	1.28	-5.76	43.712	37.313
g	71067	673	60	44	45	1.28	-0.704	43.712	47.219
g	71068	734	60	50	51	4.48	-5.632	44.48	55.156
g	71069	795	60	35	51	1.28	-6.336	43.712	36.938
g	71070	856	60	28	54	3.2	-10.048	43.52	32.844
g	71071	917	60	37	51	1.28	-6.848	43.712	39.219
g	71072	2	118	32	51	2.88	-7.04	43.52	37
g	71073	63	118	39	51	1.92	-6.912	43.712	41.594
g	71074	124	118	42	51	0.64	-6.848	43.712	44.469
g	71075	185	118	40	43	2.56	0.96	43.712	44.938
g	71076	246	118	35	51	2.56	-7.04	43.712	38.656
g	71077	307	118	35	51	0.64	-6.336	43.712	36.594
g	71078	368	118	39	48	2.112	-4.16	43.712	42.938
g	71079	429	118	37	51	2.56	-6.528	43.712	42.125
g	71080	490	118	29	51	2.432	-6.592	43.712	32.063
g	71081	551	118	49	51	3.2	-6.336	43.712	50.813
g	71082	612	118	35	51	2.56	-7.04	43.712	38.406
g	71083	673	118	47	48	2.56	-3.008	44.16	50.813
g	71084	734	118	42	51	0.64	-6.848	43.712	44.469
g	71085	795	118	44	51	0.64	-6.848	43.712	46.344
g	71086	856	118	42	51	1.28	-6.592	43.712	45.125
